lat,lng,franchise,store
37.5049945,127.0467617,스타벅스,스타벅스 선릉로점
37.537865,126.893927,스타벅스,스타벅스 선유도역1번출구점
37.537316,126.894557,스타벅스,스타벅스 선유도역점
37.533941,126.896805,스타벅스,스타벅스 선유동이레빌딩점
37.51064,127.044409,스타벅스,스타벅스 선정릉역점
37.5829241,126.9983904,스타벅스,스타벅스 성대입구점
37.5465029,127.065263,스타벅스,스타벅스 성수낙낙점
37.543193,127.0569432,스타벅스,스타벅스 성수역점
37.539768,127.053205,스타벅스,스타벅스 성수이마트점
37.543193,127.0569432,스타벅스,스타벅스 성수점
37.5931137,127.0184022,스타벅스,스타벅스 성신여대점
37.590891,127.018793,스타벅스,스타벅스 성신여대정문
37.5035748,127.0415772,스타벅스,스타벅스 센터필드R점
37.50435,127.00352,스타벅스,스타벅스 센트럴시티점
37.50435,127.00352,스타벅스,스타벅스 센트럴F1점
37.5623685,126.9770254,스타벅스,스타벅스 소공로점
37.514573,127.107404,스타벅스,스타벅스 송파구청점
37.4995548,127.14756,스타벅스,스타벅스 송파마천사거리DT점
37.5022465,127.1103401,스타벅스,스타벅스 송파사거리점
37.4784868,127.1432784,스타벅스,스타벅스 송파위례점
37.5016722,127.1088775,스타벅스,스타벅스 송파헬리오시티점
37.5022465,127.1103401,스타벅스,스타벅스 송파KT
37.5145437,127.1065971,스타벅스,스타벅스 송파NC점
37.5836106,126.8932739,스타벅스,스타벅스 수색점
37.4874685,127.1013245,스타벅스,스타벅스 수서역사거리점
37.4880487,127.1030338,스타벅스,스타벅스 수서역R점
37.6346285,127.0239971,스타벅스,스타벅스 수유역점
37.5441497,126.9718976,스타벅스,스타벅스 숙대입구역점
37.5445812,126.9671959,스타벅스,스타벅스 숙대점
37.533393,127.0056837,스타벅스,스타벅스 순천향입구점
37.5616171,126.9768946,스타벅스,스타벅스 숭례문북창점
37.558679,126.973295,스타벅스,스타벅스 숭례문에스지타워
37.558679,126.973295,스타벅스,스타벅스 숭례문점
37.496888,126.952685,스타벅스,스타벅스 숭실대입구역점
37.49538,126.95489,스타벅스,스타벅스 숭실대점
37.509965,127.0615809,스타벅스,스타벅스 스타필드코엑스몰R점
37.5743822,126.9688505,스타벅스,스타벅스 스페이스본점
37.505276,127.023693,스타벅스,스타벅스 신논현역점
37.5657275,127.0165284,스타벅스,스타벅스 신당역사거리점
37.5652778,127.0144444,스타벅스,스타벅스 신당역점
37.4977519,126.9277332,스타벅스,스타벅스 신대방삼거리역점
37.5055486,126.8838008,스타벅스,스타벅스 신도림점
37.4846038,126.9304905,스타벅스,스타벅스 신림사거리점
37.48609,126.92916,스타벅스,스타벅스 신림점
37.4838735,126.9302332,스타벅스,스타벅스 신림타임스트림점
37.4809346,126.9084069,스타벅스,스타벅스 신림DT점
37.5231572,127.0216249,스타벅스,스타벅스 신사가로수점
37.513899,127.0206125,스타벅스,스타벅스 신사역성일빌딩점
37.516163,127.020677,스타벅스,스타벅스 신사역점
37.5766701,127.0255138,스타벅스,스타벅스 신설동역
37.5609432,126.9825464,스타벅스,스타벅스 신세계본점 5F
37.5609432,126.9825464,스타벅스,스타벅스 신세계본점6F
37.5176084,126.905008,스타벅스,스타벅스 신세계타임스퀘어B2점
37.528578,126.966843,스타벅스,스타벅스 신용산역점
37.519981,126.8365553,스타벅스,스타벅스 신월동DT점
37.5295187,126.8323691,스타벅스,스타벅스 신월IC DT점
37.52201,126.858875,스타벅스,스타벅스 신정DT점
37.5577525,126.9381458,스타벅스,스타벅스 신촌명물거리점
37.5565354,126.9402235,스타벅스,스타벅스 신촌아트레온점
37.5562647,126.9345138,스타벅스,스타벅스 신촌역점
37.55515,126.934692,스타벅스,스타벅스 신촌오거리
37.5564899,126.93712,스타벅스,스타벅스 신촌점
37.6483224,127.0348734,스타벅스,스타벅스 쌍문역점
37.51053,127.07905,스타벅스,스타벅스 아시아선수촌점
37.5715087,127.1037627,스타벅스,스타벅스 아차산역점
37.5583548,126.9562378,스타벅스,스타벅스 아현역점
37.5773124,126.9856772,스타벅스,스타벅스 안국점
37.5861907,127.0306658,스타벅스,스타벅스 안암역점
37.52668,127.04062,스타벅스,스타벅스 압구정로데오역
37.5227934,127.0286009,스타벅스,스타벅스 압구정윤성빌딩점
37.5226879,127.0252724,스타벅스,스타벅스 압구정R점
37.55219,126.95552,스타벅스,스타벅스 애오개역점
